rights_statement,record_count,rights_category
"Photo: (c) sarah, some rights reserved (CC BY-NC);",229,cc_by_nc
"Photo: (c) Jean Jack, some rights reserved (CC BY-NC);",218,cc_by_nc
"Photo: (c) Bastiaan Notebaert, some rights reserved (CC BY-NC);",217,cc_by_nc
"Photo: (c) Kirsty Myron, some rights reserved (CC BY-NC);",213,cc_by_nc
"Photo: (c) aniste, some rights reserved (CC BY-NC);",209,cc_by_nc
"NCW Licence 1. The interviewee agrees to this data being used in publications associated with the project, teaching, other research projects, public lectures, and presentations. The interviewee agrees to this data being publicly available on the UC CEISMIC website, in a museum, library, or public space, broadcast on television or radio, and in other works such as books, films, and artworks. Licensed for non-commercial use, in part or whole, in compliance with the above conditions of use. Attribution to Women's Voices project, NCW (Christchurch).",206,cc_by_nc
"Photo: (c) oakura, some rights reserved (CC BY-NC);",206,cc_by_nc
"Photo: (c) joakimliman, some rights reserved (CC BY-NC);",204,cc_by_nc
"Photo: (c) gloriargk, some rights reserved (CC BY-NC);",203,cc_by_nc
"Photo: (c) Ashley M Bradford, some rights reserved (CC BY-NC);",202,cc_by_nc
"Photo: (c) pwarren, some rights reserved (CC BY-NC);",202,cc_by_nc
"Photo: (c) Laura, some rights reserved (CC BY-NC);",201,cc_by_nc
"Photo: (c) Jeff Harding, some rights reserved (CC BY-NC);",199,cc_by_nc
"Photo: (c) fourthworldinstereo, some rights reserved (CC BY-NC);",199,cc_by_nc
"Photo: (c) ingerp, some rights reserved (CC BY-NC);",199,cc_by_nc
"Photo: (c) wownz, some rights reserved (CC BY-NC);",199,cc_by_nc
"Photo: (c) bikyria, some rights reserved (CC BY-NC);",198,cc_by_nc
"Photo: (c) katemccombs, some rights reserved (CC BY-NC);",197,cc_by_nc
"Photo: (c) Catherine Beard, some rights reserved (CC BY-NC);",196,cc_by_nc
"Photo: (c) Mary Stewart, some rights reserved (CC BY-NC);",196,cc_by_nc
"Photo: (c) jesse_bythell, some rights reserved (CC BY-NC);",196,cc_by_nc
"Photo: (c) Boonyanuj (TK), some rights reserved (CC BY-NC);",194,cc_by_nc
"Photo: (c) derek_onley, some rights reserved (CC BY-NC);",193,cc_by_nc
"Photo: (c) fun-gal-nz, some rights reserved (CC BY-NC);",193,cc_by_nc
"Photo: (c) coastalschool, some rights reserved (CC BY-NC);",192,cc_by_nc
"Photo: (c) sheryhanna, some rights reserved (CC BY-NC);",192,cc_by_nc
"Photo: (c) Pieter Pelser, some rights reserved (CC BY-NC);",191,cc_by_nc
"Photo: (c) tim_hopley, some rights reserved (CC BY-NC);",191,cc_by_nc
"Photo: (c) Andy Bridges, some rights reserved (CC BY-NC);",190,cc_by_nc
"Photo: (c) Doug Miller, some rights reserved (CC BY-NC);",190,cc_by_nc
"Photo: (c) Steve Reekie, some rights reserved (CC BY-NC);",190,cc_by_nc
"Photo: (c) Astrid, some rights reserved (CC BY-NC);",189,cc_by_nc
"Photo: (c) bevc, some rights reserved (CC BY-NC);",188,cc_by_nc
"Photo: (c) Berthine Bruinsma, some rights reserved (CC BY-NC);",186,cc_by_nc
"Photo: (c) Emma Rowell, some rights reserved (CC BY-NC);",186,cc_by_nc
"Photo: (c) Shona Treanor, some rights reserved (CC BY-NC);",186,cc_by_nc
"Photo: (c) room18redwood, some rights reserved (CC BY-NC);",185,cc_by_nc
"Photo: (c) rubenmita, some rights reserved (CC BY-NC);",183,cc_by_nc
"Photo: (c) Andrew Spurgeon, some rights reserved (CC BY-NC);",182,cc_by_nc
"Photo: (c) gnapp, some rights reserved (CC BY-NC);",180,cc_by_nc
"Photo: (c) Trevor Crosby, some rights reserved (CC BY-NC);",177,cc_by_nc
"Photo: (c) Dave Houston, some rights reserved (CC BY-NC);",172,cc_by_nc
"Photo: (c) Dean, some rights reserved (CC BY-NC);",172,cc_by_nc
"Photo: (c) Greg Bennett, some rights reserved (CC BY-NC);",171,cc_by_nc
"Photo: (c) bridgespotter, some rights reserved (CC BY-NC);",171,cc_by_nc
"Photo: (c) mark_smale, some rights reserved (CC BY-NC);",171,cc_by_nc
"Photo: (c) Annika T, some rights reserved (CC BY-NC);",170,cc_by_nc
"Photo: (c) ecotype, some rights reserved (CC BY-NC);",169,cc_by_nc
"Photo: (c) Liam Urquhart, some rights reserved (CC BY-NC);",167,cc_by_nc
"Photo: (c) woodleigh_school, some rights reserved (CC BY-NC);",167,cc_by_nc
"Copyright CITR, The University of Auckland. You are granted permission for the non-commercial reproduction, distribution, display, and performance of this technical report in any format, BUT this permission is only for a period of 45 (forty-five) days from the most recent time that you verified that this technical report is still available from the original CITR web site under terms that include this permission. All other rights are reserved by the author(s).",166,cc_by_nc
"Photo: (c) Sahar Firoozkoohi, some rights reserved (CC BY-NC);",165,cc_by_nc
Freely available for non-commercial use.,163,cc_by_nc
"Photo: (c) carolwest, some rights reserved (CC BY-NC);",163,cc_by_nc
"Photo: (c) strewick, some rights reserved (CC BY-NC);",163,cc_by_nc
"Photo: (c) Brett Payne, some rights reserved (CC BY-NC);",161,cc_by_nc
"Photo: (c) cam_walker, some rights reserved (CC BY-NC);",161,cc_by_nc
"Photo: (c) oofers, some rights reserved (CC BY-NC);",160,cc_by_nc
Creative Commons Attribution-NonCommercial 3.0 New Zealand,159,cc_by_nc
"Photo: (c) Julie Simpson, some rights reserved (CC BY-NC);",159,cc_by_nc
"Photo: (c) Max Sullivan, some rights reserved (CC BY-NC);",159,cc_by_nc
"Photo: (c) Jennifer L, some rights reserved (CC BY-NC);",158,cc_by_nc
"Photo: (c) Sophie Kynman-Cole, some rights reserved (CC BY-NC);",158,cc_by_nc
"Photo: (c) Elvis Smith, some rights reserved (CC BY-NC);",156,cc_by_nc
"Photo: (c) Amy Zhou, some rights reserved (CC BY-NC);",155,cc_by_nc
"Photo: (c) Christopher Caine, some rights reserved (CC BY-NC);",155,cc_by_nc
"Photo: (c) Lawrence Troup, some rights reserved (CC BY-NC);",155,cc_by_nc
"Photo: (c) chrissen, some rights reserved (CC BY-NC);",155,cc_by_nc
"Photo: (c) bythepark, some rights reserved (CC BY-NC);",153,cc_by_nc
"Photo: (c) chrismorse, some rights reserved (CC BY-NC);",153,cc_by_nc
"Photo: (c) janicelord, some rights reserved (CC BY-NC);",153,cc_by_nc
"Photo: (c) enzedfred, some rights reserved (CC BY-NC);",152,cc_by_nc
"Photo: (c) luke_sutton, some rights reserved (CC BY-NC);",152,cc_by_nc
"Photo: (c) Robyn Simcock, some rights reserved (CC BY-NC);",151,cc_by_nc
"Photo: (c) Emma & Tom, some rights reserved (CC BY-NC);",150,cc_by_nc
"Photo: (c) Gina, some rights reserved (CC BY-NC);",150,cc_by_nc
"Photo: (c) beaumasters, some rights reserved (CC BY-NC);",145,cc_by_nc
"Photo: (c) benknight, some rights reserved (CC BY-NC);",145,cc_by_nc
"Photo: (c) Amaël Borzée, some rights reserved (CC BY-NC);",144,cc_by_nc
"Photo: (c) Jamie Wood, some rights reserved (CC BY-NC);",144,cc_by_nc
"Photo: (c) greenteam, some rights reserved (CC BY-NC);",144,cc_by_nc
"Photo: (c) tanyad, some rights reserved (CC BY-NC);",144,cc_by_nc
Image: CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/ Text: Copyright National Museum of Australia / CC BY-NC https://creativecommons.org/licenses/by-nc/4.0/ Copyright National Museum of Australia / CC BY-NC,143,cc_by_nc
"Photo: (c) Kate, some rights reserved (CC BY-NC);",143,cc_by_nc
"Photo: (c) foraginggal, some rights reserved (CC BY-NC);",142,cc_by_nc
"Photo: (c) vsuresh, some rights reserved (CC BY-NC);",142,cc_by_nc
"Photo: (c) John Charles, some rights reserved (CC BY-NC);",141,cc_by_nc
"Photo: (c) Chris Moody, some rights reserved (CC BY-NC);",140,cc_by_nc
"Photo: (c) Househopper Jr, some rights reserved (CC BY-NC);",140,cc_by_nc
"Photo: (c) Joel Knight, some rights reserved (CC BY-NC);",140,cc_by_nc
"Photo: (c) Jonah Timms, some rights reserved (CC BY-NC);",140,cc_by_nc
"Photo: (c) janewei, some rights reserved (CC BY-NC);",139,cc_by_nc
"Photo: (c) okato-learning-group, some rights reserved (CC BY-NC);",139,cc_by_nc
"Photo: (c) emr_auckland, some rights reserved (CC BY-NC);",138,cc_by_nc
"Photo: (c) heymilly, some rights reserved (CC BY-NC);",138,cc_by_nc
"Photo: (c) miriam99, some rights reserved (CC BY-NC);",138,cc_by_nc
"Photo: (c) michellelambert, some rights reserved (CC BY-NC);",137,cc_by_nc
"Photo: (c) rachbaxter, some rights reserved (CC BY-NC);",136,cc_by_nc
"Photo: (c) ashleycomeau, some rights reserved (CC BY-NC);",134,cc_by_nc
"Photo: (c) glenn, some rights reserved (CC BY-NC);",134,cc_by_nc
"Photo: (c) Natalie Wilkinson, some rights reserved (CC BY-NC);",133,cc_by_nc
"Photo: (c) Rémi Cardinael, some rights reserved (CC BY-NC);",133,cc_by_nc
"Photo: (c) emanon, some rights reserved (CC BY-NC);",133,cc_by_nc
"Photo: (c) anmar2015, some rights reserved (CC BY-NC);",132,cc_by_nc
© Auckland Museum CC BY NC,132,cc_by_nc
"Photo: (c) Andrew Nevin, some rights reserved (CC BY-NC);",131,cc_by_nc
"Photo: (c) bradley_curnow, some rights reserved (CC BY-NC);",131,cc_by_nc
"Photo: (c) stephen_c, some rights reserved (CC BY-NC);",131,cc_by_nc
"Photo: (c) huirangi, some rights reserved (CC BY-NC);",130,cc_by_nc
"Photo: (c) james_ranstead, some rights reserved (CC BY-NC);",130,cc_by_nc
"Photo: (c) nicky12433, some rights reserved (CC BY-NC);",130,cc_by_nc
"Photo: (c) Janet Gingold, some rights reserved (CC BY-NC);",129,cc_by_nc
"Photo: (c) katiej, some rights reserved (CC BY-NC);",129,cc_by_nc
"Photo: (c) Jean-François Olivier, some rights reserved (CC BY-NC);",128,cc_by_nc
"Photo: (c) central_school, some rights reserved (CC BY-NC);",128,cc_by_nc
"Photo: (c) kevin_frank, some rights reserved (CC BY-NC);",128,cc_by_nc
"Photo: (c) David Hodge, some rights reserved (CC BY-NC);",127,cc_by_nc
"Photo: (c) Dayne Laird, some rights reserved (CC BY-NC);",127,cc_by_nc
"Photo: (c) Peter Shearer, some rights reserved (CC BY-NC);",127,cc_by_nc
"Photo: (c) theovannoort, some rights reserved (CC BY-NC);",126,cc_by_nc
"Photo: (c) Alex Fleming, some rights reserved (CC BY-NC);",125,cc_by_nc
